,YEAR,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CANCELLATION_CODE,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 38
3238,2019,7,2019-12-22,HA,N361HA,1,12892,LAX,"Los Angeles, CA",CA,California,12173,HNL,"Honolulu, HI",HI,Hawaii,700,723.0,23.0,23.0,15.0,738.0,1119.0,5.0,1100,1124.0,24.0,24.0,0.0,,0.0,341.0,2556.0,24.0,0.0,0.0,0.0,0.0,
3269,2019,7,2019-12-22,HA,N380HA,2,12173,HNL,"Honolulu, HI",HI,Hawaii,12892,LAX,"Los Angeles, CA",CA,California,1535,1601.0,26.0,26.0,16.0,1617.0,2259.0,34.0,2300,2333.0,33.0,33.0,0.0,,0.0,282.0,2556.0,33.0,0.0,0.0,0.0,0.0,
3300,2019,7,2019-12-22,HA,N390HA,3,12892,LAX,"Los Angeles, CA",CA,California,12173,HNL,"Honolulu, HI",HI,Hawaii,1000,1024.0,24.0,24.0,20.0,1044.0,1426.0,7.0,1400,1433.0,33.0,33.0,0.0,,0.0,342.0,2556.0,9.0,0.0,24.0,0.0,0.0,
3331,2019,7,2019-12-22,HA,N384HA,4,12173,HNL,"Honolulu, HI",HI,Hawaii,12892,LAX,"Los Angeles, CA",CA,California,2245,2254.0,9.0,9.0,13.0,2307.0,545.0,12.0,600,557.0,-3.0,0.0,0.0,,0.0,278.0,2556.0,,,,,,
3362,2019,7,2019-12-22,HA,N384HA,9,12892,LAX,"Los Angeles, CA",CA,California,12173,HNL,"Honolulu, HI",HI,Hawaii,1705,1718.0,13.0,13.0,19.0,1737.0,2120.0,6.0,2105,2126.0,21.0,21.0,0.0,,0.0,343.0,2556.0,21.0,0.0,0.0,0.0,0.0,
3393,2019,7,2019-12-22,HA,N384HA,10,12173,HNL,"Honolulu, HI",HI,Hawaii,12892,LAX,"Los Angeles, CA",CA,California,800,814.0,14.0,14.0,17.0,831.0,1511.0,10.0,1525,1521.0,-4.0,0.0,0.0,,0.0,280.0,2556.0,,,,,,
3452,2019,7,2019-12-22,HA,N214HA,12,12173,HNL,"Honolulu, HI",HI,Hawaii,14771,SFO,"San Francisco, CA",CA,California,1455,1454.0,-1.0,0.0,18.0,1512.0,2212.0,7.0,2205,2219.0,14.0,14.0,0.0,,0.0,300.0,2398.0,,,,,,
3483,2019,7,2019-12-22,HA,N375HA,15,14679,SAN,"San Diego, CA",CA,California,12173,HNL,"Honolulu, HI",HI,Hawaii,930,919.0,-11.0,0.0,15.0,934.0,1326.0,5.0,1355,1331.0,-24.0,0.0,0.0,,0.0,352.0,2614.0,,,,,,
3514,2019,7,2019-12-22,HA,N374HA,16,12173,HNL,"Honolulu, HI",HI,Hawaii,14679,SAN,"San Diego, CA",CA,California,1425,1431.0,6.0,6.0,17.0,1448.0,2135.0,12.0,2150,2147.0,-3.0,0.0,0.0,,0.0,287.0,2614.0,,,,,,
3545,2019,7,2019-12-22,HA,N214HA,19,14893,SMF,"Sacramento, CA",CA,California,12173,HNL,"Honolulu, HI",HI,Hawaii,830,824.0,-6.0,0.0,12.0,836.0,1207.0,24.0,1220,1231.0,11.0,11.0,0.0,,0.0,331.0,2462.0,,,,,,
